2026-02-20 15:10:04,367 | Epoch  1 | loss 1.425 | val_loss 1.086 | acc 0.568 | time 47.2s
2026-02-20 15:10:45,532 | Epoch  2 | loss 1.310 | val_loss 1.172 | acc 0.516 | time 41.0s
2026-02-20 15:11:26,475 | Epoch  3 | loss 1.180 | val_loss 1.079 | acc 0.580 | time 40.9s
2026-02-20 15:12:07,449 | Epoch  4 | loss 1.106 | val_loss 0.941 | acc 0.647 | time 40.8s
2026-02-20 15:12:48,399 | Epoch  5 | loss 1.047 | val_loss 0.964 | acc 0.610 | time 40.8s
2026-02-20 15:13:29,304 | Epoch  6 | loss 1.001 | val_loss 0.872 | acc 0.655 | time 40.8s
2026-02-20 15:14:10,273 | Epoch  7 | loss 0.960 | val_loss 0.863 | acc 0.674 | time 40.8s
2026-02-20 15:14:51,181 | Epoch  8 | loss 0.918 | val_loss 0.923 | acc 0.646 | time 40.7s
2026-02-20 15:15:32,382 | Epoch  9 | loss 0.877 | val_loss 0.867 | acc 0.677 | time 41.1s
2026-02-20 15:16:14,047 | Epoch 10 | loss 0.836 | val_loss 0.769 | acc 0.711 | time 41.5s
2026-02-20 15:16:55,012 | Epoch 11 | loss 0.799 | val_loss 0.840 | acc 0.672 | time 40.8s
2026-02-20 15:17:35,884 | Epoch 12 | loss 0.734 | val_loss 0.777 | acc 0.723 | time 40.8s
2026-02-20 15:18:17,077 | Epoch 13 | loss 0.709 | val_loss 0.773 | acc 0.706 | time 41.1s
2026-02-20 15:18:58,508 | Epoch 14 | loss 0.658 | val_loss 0.746 | acc 0.719 | time 41.3s
2026-02-20 15:19:39,348 | Epoch 15 | loss 0.588 | val_loss 0.929 | acc 0.668 | time 40.8s
2026-02-20 15:20:20,221 | Epoch 16 | loss 0.532 | val_loss 0.725 | acc 0.741 | time 40.8s
2026-02-20 15:21:01,200 | Epoch 17 | loss 0.465 | val_loss 0.735 | acc 0.734 | time 40.8s
2026-02-20 15:21:42,001 | Epoch 18 | loss 0.416 | val_loss 0.765 | acc 0.728 | time 40.7s
2026-02-20 15:22:22,874 | Epoch 19 | loss 0.364 | val_loss 0.757 | acc 0.742 | time 40.8s
2026-02-20 15:23:03,816 | Epoch 20 | loss 0.325 | val_loss 0.776 | acc 0.725 | time 40.8s
2026-02-20 16:23:47,625 | Epoch  1 | loss 1.232 | val_loss 1.015 | acc 0.617 | time 57.0s
2026-02-20 16:24:34,191 | Epoch  2 | loss 1.105 | val_loss 0.936 | acc 0.639 | time 46.5s
2026-02-20 16:25:20,656 | Epoch  3 | loss 1.052 | val_loss 0.939 | acc 0.620 | time 46.4s
2026-02-20 16:26:07,085 | Epoch  4 | loss 0.999 | val_loss 1.118 | acc 0.598 | time 46.4s
2026-02-20 16:26:53,574 | Epoch  5 | loss 0.956 | val_loss 0.887 | acc 0.667 | time 46.5s
2026-02-20 16:27:40,239 | Epoch  6 | loss 0.887 | val_loss 0.873 | acc 0.658 | time 46.5s
2026-02-20 16:28:26,817 | Epoch  7 | loss 0.820 | val_loss 1.067 | acc 0.643 | time 46.6s
2026-02-20 16:29:13,220 | Epoch  8 | loss 0.752 | val_loss 0.916 | acc 0.650 | time 46.4s
2026-02-20 16:29:59,710 | Epoch  9 | loss 0.701 | val_loss 1.047 | acc 0.649 | time 46.5s
2026-02-20 16:30:46,148 | Epoch 10 | loss 0.659 | val_loss 0.672 | acc 0.756 | time 46.4s
2026-02-20 16:31:32,798 | Epoch 11 | loss 0.583 | val_loss 0.682 | acc 0.750 | time 46.5s
2026-02-20 16:32:19,229 | Epoch 12 | loss 0.538 | val_loss 0.794 | acc 0.713 | time 46.4s
2026-02-20 16:33:05,773 | Epoch 13 | loss 0.459 | val_loss 0.710 | acc 0.754 | time 46.5s
2026-02-20 16:33:52,287 | Epoch 14 | loss 0.418 | val_loss 0.854 | acc 0.705 | time 46.5s
2026-02-20 16:34:38,785 | Epoch 15 | loss 0.313 | val_loss 0.779 | acc 0.760 | time 46.5s
2026-02-20 16:35:25,618 | Epoch 16 | loss 0.281 | val_loss 0.817 | acc 0.711 | time 46.7s
2026-02-20 16:36:12,139 | Epoch 17 | loss 0.187 | val_loss 0.922 | acc 0.721 | time 46.5s
2026-02-20 16:36:58,703 | Epoch 18 | loss 0.130 | val_loss 0.871 | acc 0.755 | time 46.6s
2026-02-20 16:37:45,129 | Epoch 19 | loss 0.102 | val_loss 0.859 | acc 0.745 | time 46.4s
2026-02-20 16:38:31,605 | Epoch 20 | loss 0.069 | val_loss 0.843 | acc 0.755 | time 46.5s
2026-02-20 19:11:31,143 | Epoch  1 | loss 1.447 | val_loss 1.173 | acc 0.508 | time 61.6s
2026-02-20 19:12:30,891 | Epoch  2 | loss 1.366 | val_loss 1.039 | acc 0.586 | time 59.7s
2026-02-20 19:13:30,486 | Epoch  3 | loss 1.327 | val_loss 0.938 | acc 0.637 | time 59.5s
2026-02-20 19:14:30,351 | Epoch  4 | loss 1.283 | val_loss 1.047 | acc 0.593 | time 59.7s
2026-02-20 19:15:30,331 | Epoch  5 | loss 1.257 | val_loss 1.038 | acc 0.590 | time 60.0s
2026-02-20 19:16:30,310 | Epoch  6 | loss 1.192 | val_loss 0.943 | acc 0.628 | time 60.0s
2026-02-20 19:17:30,370 | Epoch  7 | loss 1.179 | val_loss 0.987 | acc 0.610 | time 60.0s
2026-02-20 19:18:30,087 | Epoch  8 | loss 1.136 | val_loss 0.897 | acc 0.667 | time 59.7s
2026-02-20 19:19:30,429 | Epoch  9 | loss 1.122 | val_loss 1.101 | acc 0.597 | time 60.3s
2026-02-20 19:20:30,868 | Epoch 10 | loss 1.102 | val_loss 0.745 | acc 0.714 | time 60.4s
2026-02-20 19:21:31,056 | Epoch 11 | loss 1.072 | val_loss 0.826 | acc 0.706 | time 60.1s
2026-02-20 19:22:31,307 | Epoch 12 | loss 1.058 | val_loss 0.822 | acc 0.705 | time 60.2s
2026-02-20 19:23:31,908 | Epoch 13 | loss 1.034 | val_loss 0.882 | acc 0.677 | time 60.5s
2026-02-20 19:24:31,642 | Epoch 14 | loss 0.992 | val_loss 0.760 | acc 0.701 | time 59.7s
2026-02-20 19:25:32,376 | Epoch 15 | loss 0.963 | val_loss 0.751 | acc 0.721 | time 60.7s
2026-02-20 19:26:32,169 | Epoch 16 | loss 0.934 | val_loss 0.688 | acc 0.760 | time 59.6s
2026-02-20 19:27:32,013 | Epoch 17 | loss 0.917 | val_loss 0.682 | acc 0.742 | time 59.8s
2026-02-20 19:28:32,174 | Epoch 18 | loss 0.907 | val_loss 0.602 | acc 0.756 | time 60.2s
2026-02-20 19:29:32,155 | Epoch 19 | loss 0.884 | val_loss 0.773 | acc 0.731 | time 59.9s
2026-02-20 19:30:32,302 | Epoch 20 | loss 0.836 | val_loss 0.640 | acc 0.769 | time 60.1s
2026-02-20 19:31:32,985 | Epoch 21 | loss 0.827 | val_loss 0.599 | acc 0.784 | time 60.6s
2026-02-20 19:32:36,321 | Epoch 22 | loss 0.797 | val_loss 0.624 | acc 0.775 | time 63.1s
2026-02-20 19:33:37,129 | Epoch 23 | loss 0.743 | val_loss 0.611 | acc 0.782 | time 60.8s
2026-02-20 19:34:37,268 | Epoch 24 | loss 0.717 | val_loss 0.612 | acc 0.773 | time 60.1s
2026-02-20 19:35:37,467 | Epoch 25 | loss 0.685 | val_loss 0.607 | acc 0.778 | time 60.1s
2026-02-20 19:36:37,333 | Epoch 26 | loss 0.670 | val_loss 0.587 | acc 0.787 | time 59.9s
2026-02-20 19:37:37,948 | Epoch 27 | loss 0.645 | val_loss 0.561 | acc 0.803 | time 60.5s
2026-02-20 19:38:38,334 | Epoch 28 | loss 0.627 | val_loss 0.545 | acc 0.810 | time 60.2s
2026-02-20 19:39:38,457 | Epoch 29 | loss 0.594 | val_loss 0.562 | acc 0.803 | time 60.0s
2026-02-20 19:40:39,240 | Epoch 30 | loss 0.561 | val_loss 0.560 | acc 0.802 | time 60.8s
